Data,Unidade,Linha,Turno,Producao_Planejada,Producao_Real
2024-01-01,Base Macaé,Linha A,Manhã,120,106
2024-01-01,Base Macaé,Linha A,Tarde,120,92
2024-01-01,Base Macaé,Linha A,Noite,120,110
2024-01-01,Base Macaé,Linha B,Manhã,100,86
2024-01-01,Base Macaé,Linha B,Tarde,100,91
2024-01-01,Base Macaé,Linha B,Noite,100,89
2024-01-01,Base Macaé,Linha C,Manhã,80,69
2024-01-01,Base Macaé,Linha C,Tarde,80,55
2024-01-01,Base Macaé,Linha C,Noite,80,61
2024-01-02,Base Macaé,Linha A,Manhã,120,91
2024-01-02,Base Macaé,Linha A,Tarde,120,115
2024-01-02,Base Macaé,Linha A,Noite,120,113
2024-01-02,Base Macaé,Linha B,Manhã,100,76
2024-01-02,Base Macaé,Linha B,Tarde,100,84
2024-01-02,Base Macaé,Linha B,Noite,100,87
2024-01-02,Base Macaé,Linha C,Manhã,80,57
2024-01-02,Base Macaé,Linha C,Tarde,80,58
2024-01-02,Base Macaé,Linha C,Noite,80,56
2024-01-03,Base Macaé,Linha A,Manhã,120,117
2024-01-03,Base Macaé,Linha A,Tarde,120,94
2024-01-03,Base Macaé,Linha A,Noite,120,108
2024-01-03,Base Macaé,Linha B,Manhã,100,80
2024-01-03,Base Macaé,Linha B,Tarde,100,93
2024-01-03,Base Macaé,Linha B,Noite,100,83
2024-01-03,Base Macaé,Linha C,Manhã,80,63
2024-01-03,Base Macaé,Linha C,Tarde,80,53
2024-01-03,Base Macaé,Linha C,Noite,80,63
2024-01-04,Base Macaé,Linha A,Manhã,120,107
2024-01-04,Base Macaé,Linha A,Tarde,120,105
2024-01-04,Base Macaé,Linha A,Noite,120,115
2024-01-04,Base Macaé,Linha B,Manhã,100,76
2024-01-04,Base Macaé,Linha B,Tarde,100,85
2024-01-04,Base Macaé,Linha B,Noite,100,87
2024-01-04,Base Macaé,Linha C,Manhã,80,67
2024-01-04,Base Macaé,Linha C,Tarde,80,62
2024-01-04,Base Macaé,Linha C,Noite,80,60
2024-01-05,Base Macaé,Linha A,Manhã,120,112
2024-01-05,Base Macaé,Linha A,Tarde,120,94
2024-01-05,Base Macaé,Linha A,Noite,120,102
2024-01-05,Base Macaé,Linha B,Manhã,100,86
2024-01-05,Base Macaé,Linha B,Tarde,100,96
2024-01-05,Base Macaé,Linha B,Noite,100,81
2024-01-05,Base Macaé,Linha C,Manhã,80,57
2024-01-05,Base Macaé,Linha C,Tarde,80,64
2024-01-05,Base Macaé,Linha C,Noite,80,62
2024-01-06,Base Macaé,Linha A,Manhã,120,95
2024-01-06,Base Macaé,Linha A,Tarde,120,100
2024-01-06,Base Macaé,Linha A,Noite,120,101
2024-01-06,Base Macaé,Linha B,Manhã,100,92
2024-01-06,Base Macaé,Linha B,Tarde,100,83
2024-01-06,Base Macaé,Linha B,Noite,100,90
2024-01-06,Base Macaé,Linha C,Manhã,80,64
2024-01-06,Base Macaé,Linha C,Tarde,80,61
2024-01-06,Base Macaé,Linha C,Noite,80,56
2024-01-07,Base Macaé,Linha A,Manhã,120,104
2024-01-07,Base Macaé,Linha A,Tarde,120,107
2024-01-07,Base Macaé,Linha A,Noite,120,117
2024-01-07,Base Macaé,Linha B,Manhã,100,76
2024-01-07,Base Macaé,Linha B,Tarde,100,88
2024-01-07,Base Macaé,Linha B,Noite,100,76
2024-01-07,Base Macaé,Linha C,Manhã,80,53
2024-01-07,Base Macaé,Linha C,Tarde,80,63
2024-01-07,Base Macaé,Linha C,Noite,80,65
2024-01-08,Base Macaé,Linha A,Manhã,120,91
2024-01-08,Base Macaé,Linha A,Tarde,120,115
2024-01-08,Base Macaé,Linha A,Noite,120,90
2024-01-08,Base Macaé,Linha B,Manhã,100,90
2024-01-08,Base Macaé,Linha B,Tarde,100,95
2024-01-08,Base Macaé,Linha B,Noite,100,87
2024-01-08,Base Macaé,Linha C,Manhã,80,55
2024-01-08,Base Macaé,Linha C,Tarde,80,65
2024-01-08,Base Macaé,Linha C,Noite,80,58
2024-01-09,Base Macaé,Linha A,Manhã,120,92
2024-01-09,Base Macaé,Linha A,Tarde,120,101
2024-01-09,Base Macaé,Linha A,Noite,120,114
2024-01-09,Base Macaé,Linha B,Manhã,100,79
2024-01-09,Base Macaé,Linha B,Tarde,100,91
2024-01-09,Base Macaé,Linha B,Noite,100,75
2024-01-09,Base Macaé,Linha C,Manhã,80,64
2024-01-09,Base Macaé,Linha C,Tarde,80,53
2024-01-09,Base Macaé,Linha C,Noite,80,61
2024-01-10,Base Macaé,Linha A,Manhã,120,107
2024-01-10,Base Macaé,Linha A,Tarde,120,114
2024-01-10,Base Macaé,Linha A,Noite,120,91
2024-01-10,Base Macaé,Linha B,Manhã,100,80
2024-01-10,Base Macaé,Linha B,Tarde,100,94
2024-01-10,Base Macaé,Linha B,Noite,100,82
2024-01-10,Base Macaé,Linha C,Manhã,80,62
2024-01-10,Base Macaé,Linha C,Tarde,80,63
2024-01-10,Base Macaé,Linha C,Noite,80,65
2024-01-11,Base Macaé,Linha A,Manhã,120,104
2024-01-11,Base Macaé,Linha A,Tarde,120,105
2024-01-11,Base Macaé,Linha A,Noite,120,107
2024-01-11,Base Macaé,Linha B,Manhã,100,80
2024-01-11,Base Macaé,Linha B,Tarde,100,76
2024-01-11,Base Macaé,Linha B,Noite,100,85
2024-01-11,Base Macaé,Linha C,Manhã,80,64
2024-01-11,Base Macaé,Linha C,Tarde,80,62
2024-01-11,Base Macaé,Linha C,Noite,80,63
2024-01-12,Base Macaé,Linha A,Manhã,120,103
2024-01-12,Base Macaé,Linha A,Tarde,120,110
2024-01-12,Base Macaé,Linha A,Noite,120,108
2024-01-12,Base Macaé,Linha B,Manhã,100,81
2024-01-12,Base Macaé,Linha B,Tarde,100,79
2024-01-12,Base Macaé,Linha B,Noite,100,79
2024-01-12,Base Macaé,Linha C,Manhã,80,63
2024-01-12,Base Macaé,Linha C,Tarde,80,68
2024-01-12,Base Macaé,Linha C,Noite,80,57
2024-01-13,Base Macaé,Linha A,Manhã,120,101
2024-01-13,Base Macaé,Linha A,Tarde,120,110
2024-01-13,Base Macaé,Linha A,Noite,120,102
2024-01-13,Base Macaé,Linha B,Manhã,100,91
2024-01-13,Base Macaé,Linha B,Tarde,100,81
2024-01-13,Base Macaé,Linha B,Noite,100,87
2024-01-13,Base Macaé,Linha C,Manhã,80,57
2024-01-13,Base Macaé,Linha C,Tarde,80,58
2024-01-13,Base Macaé,Linha C,Noite,80,54
2024-01-14,Base Macaé,Linha A,Manhã,120,102
2024-01-14,Base Macaé,Linha A,Tarde,120,97
2024-01-14,Base Macaé,Linha A,Noite,120,107
